categoria,archivo,nombre_visible,url
Preventivas,Preventivas\Puente Angosto.png,Puente Angosto,https://practicatest.co/static/img/co/temario/senales_preventivas/sp36_puente_angosto.png
Preventivas,Preventivas\Tunel.png,Tunel,https://practicatest.co/static/img/co/temario/senales_preventivas/sp37_tunel.png
Preventivas,Preventivas\Peso Maximo Permitido.png,Peso Maximo Permitido,https://practicatest.co/static/img/co/temario/senales_preventivas/sp38_peso_maximo_permitido.png
Preventivas,Preventivas\Circulacion Dos Sentidos.png,Circulacion Dos Sentidos,https://practicatest.co/static/img/co/temario/senales_preventivas/sp39_circulacion_dos_sentidos.png
Preventivas,Preventivas\Flecha Direccion.png,Flecha Direccion,https://practicatest.co/static/img/co/temario/senales_preventivas/sp40_flecha_direccion.png
Preventivas,Preventivas\Tres Carriles Uno Contraflujo.png,Tres Carriles Uno Contraflujo,https://practicatest.co/static/img/co/temario/senales_preventivas/sp41_tres_carriles_uno_contraflujo.png
Preventivas,Preventivas\Zona Derrumbe.png,Zona Derrumbe,https://practicatest.co/static/img/co/temario/senales_preventivas/sp42_zona_derrumbe.png
Preventivas,Preventivas\Tres Carriles Multisentido.png,Tres Carriles Multisentido,https://practicatest.co/static/img/co/temario/senales_preventivas/sp43_tres_carriles_multisentido.png
Preventivas,Preventivas\Superficie Deslizante.png,Superficie Deslizante,https://practicatest.co/static/img/co/temario/senales_preventivas/sp44_superficie_deslizante.png
Preventivas,Preventivas\Maquinaria Agricola.png,Maquinaria Agricola,https://practicatest.co/static/img/co/temario/senales_preventivas/sp45_maquinaria_agricola.png
Preventivas,Preventivas\Peatones Via.png,Peatones Via,https://practicatest.co/static/img/co/temario/senales_preventivas/sp46_peatones_via.png
Preventivas,Preventivas\Zona Escolar.png,Zona Escolar,https://practicatest.co/static/img/co/temario/senales_preventivas/sp47_zona_escolar.png
Preventivas,Preventivas\Zona Deportiva.png,Zona Deportiva,https://practicatest.co/static/img/co/temario/senales_preventivas/sp48_zona_deportiva.png
Preventivas,Preventivas\Animales Via.png,Animales Via,https://practicatest.co/static/img/co/temario/senales_preventivas/sp49_animales_via.png
Preventivas,Preventivas\Altura Libre.png,Altura Libre,https://practicatest.co/static/img/co/temario/senales_preventivas/sp50_altura_libre.png
Preventivas,Preventivas\Ancho Libre.png,Ancho Libre,https://practicatest.co/static/img/co/temario/senales_preventivas/sp51_ancho_libre.png
Preventivas,Preventivas\Cruce Nivel Ferrocaril.png,Cruce Nivel Ferrocaril,https://practicatest.co/static/img/co/temario/senales_preventivas/sp52_cruce_nivel_ferrocaril.png
Preventivas,Preventivas\Barrera.png,Barrera,https://practicatest.co/static/img/co/temario/senales_preventivas/sp53_barrera.png
Preventivas,Preventivas\Paso A Nivel.png,Paso A Nivel,https://practicatest.co/static/img/co/temario/senales_preventivas/sp54_paso_a_nivel.png
Preventivas,Preventivas\Iniciacion Via Con Separador Dos Sentidos.png,Iniciacion Via Con Separador Dos Sentidos,https://practicatest.co/static/img/co/temario/senales_preventivas/sp55_iniciacion_via_con_separador_dos_sentidos.png
Preventivas,Preventivas\Iniciacion Via Con Separador Uno Sentido.png,Iniciacion Via Con Separador Uno Sentido,https://practicatest.co/static/img/co/temario/senales_preventivas/sp55A_iniciacion_via_con_separador_uno_sentido.png
Preventivas,Preventivas\Terminacion Via Con Separador.png,Terminacion Via Con Separador,https://practicatest.co/static/img/co/temario/senales_preventivas/sp56_terminacion_via_con_separador.png
Preventivas,Preventivas\Terminacion Via Con Separador.png,Terminacion Via Con Separador,https://practicatest.co/static/img/co/temario/senales_preventivas/sp56A_terminacion_via_con_separador.png
Preventivas,Preventivas\Final Pavimento.png,Final Pavimento,https://practicatest.co/static/img/co/temario/senales_preventivas/sp57_final_pavimento.png
Preventivas,Preventivas\Ciclistas En Via.png,Ciclistas En Via,https://practicatest.co/static/img/co/temario/senales_preventivas/sp59_ciclistas_en_via.png
Preventivas,Preventivas\Riesgo Acidentes.png,Riesgo Acidentes,https://practicatest.co/static/img/co/temario/senales_preventivas/sp67_riesgo_acidentes.png
Informativas,Informativas\Ruta Nacional.png,Ruta Nacional,https://practicatest.co/static/img/co/temario/senales_informativas/si01_ruta_nacional.png
Informativas,Informativas\Ruta Departamental.png,Ruta Departamental,https://practicatest.co/static/img/co/temario/senales_informativas/si01A_ruta_departamental.png
Informativas,Informativas\Ruta Panamericana.png,Ruta Panamericana,https://practicatest.co/static/img/co/temario/senales_informativas/si02_ruta_panamericana.png
Informativas,Informativas\Ruta Marginal Selva.png,Ruta Marginal Selva,https://practicatest.co/static/img/co/temario/senales_informativas/si03_ruta_marginal_selva.png
Informativas,Informativas\Poste Referencia.png,Poste Referencia,https://practicatest.co/static/img/co/temario/senales_informativas/si04_poste_referencia.png
Informativas,Informativas\Informacion Previa Destino.png,Informacion Previa Destino,https://practicatest.co/static/img/co/temario/senales_informativas/si05_informacion_previa_destino.png
Informativas,Informativas\Informativa Decision Destino.png,Informativa Decision Destino,https://practicatest.co/static/img/co/temario/senales_informativas/si05A_informativa_decision_destino.png
Informativas,Informativas\Croquis.png,Croquis,https://practicatest.co/static/img/co/temario/senales_informativas/si05B_croquis.png
Informativas,Informativas\Descripcion Giros.png,Descripcion Giros,https://practicatest.co/static/img/co/temario/senales_informativas/si05C_descripcion_giros.png
Informativas,Informativas\Confirmativa Destino.png,Confirmativa Destino,https://practicatest.co/static/img/co/temario/senales_informativas/si06_confirmativa_destino.png
Informativas,Informativas\Sitio Parqueo.png,Sitio Parqueo,https://practicatest.co/static/img/co/temario/senales_informativas/si07_sitio_parqueo.png
Informativas,Informativas\Zonas Especiales Parqueo.png,Zonas Especiales Parqueo,https://practicatest.co/static/img/co/temario/senales_informativas/si07A_zonas_especiales_parqueo.png
Informativas,Informativas\Paradero Buses.png,Paradero Buses,https://practicatest.co/static/img/co/temario/senales_informativas/si08_paradero_buses.png
Informativas,Informativas\Estacionamiento Taxi.png,Estacionamiento Taxi,https://practicatest.co/static/img/co/temario/senales_informativas/si09_estacionamiento_taxi.png
Informativas,Informativas\Transbordador.png,Transbordador,https://practicatest.co/static/img/co/temario/senales_informativas/si10_transbordador.png
Informativas,Informativas\Via Ciclistas.png,Via Ciclistas,https://practicatest.co/static/img/co/temario/senales_informativas/si11_via_ciclistas.png
Informativas,Informativas\Monumento.png,Monumento,https://practicatest.co/static/img/co/temario/senales_informativas/si12_monumento.png
Informativas,Informativas\Zona Militar.png,Zona Militar,https://practicatest.co/static/img/co/temario/senales_informativas/si13_zona_militar.png
Informativas,Informativas\Aeropuerto.png,Aeropuerto,https://practicatest.co/static/img/co/temario/senales_informativas/si14_aeropuerto.png
Informativas,Informativas\Hospedaje.png,Hospedaje,https://practicatest.co/static/img/co/temario/senales_informativas/si15_hospedaje.png
